yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301547.5756435469,4242708.054183462,80.0,260026.92684588203,3658521.659407035,-43653.168587973203,-1.3480926316002826,745711.72731161851,5200728.904237282,4.065422,54.98828204798937,-2.0962309746132739,1465969628,48.270607,4737041.012928898,121.0,120.99999951343355,-1.807597017250373,10.0
301549.15741528315,4242707.272742826,80.0,260028.3273488398,3658521.4995071357,-43654.999568628082,-2.2376757201887312,745710.17495738121,5200726.504514613,4.065444,54.98827012339826,-0.46303843682791346,1465969628,48.270599,4737038.928216848,119.0,118.99999959056696,-0.39928186591714621,10.0
301549.884968283,4242711.226511126,80.0,260028.91811746696,3658524.3938347283,-43648.202914498608,-1.3480940746360925,745712.31219579803,5200732.999410888,4.06545,54.98828204798937,-0.017622396521549177,1465969628,48.270607,4737044.7444129875,126.0,125.99999985692027,-0.015195935855444986,10.0
301548.2955247491,4242708.758678239,80.0,260027.44261376632,3658520.789694148,-43649.642505318247,1.2094602704930963,745715.98562391964,5200734.370130657,4.065431,54.98831633119912,-1.4281070374475053,1465969628,48.27063,4737045.700457705,125.0,124.99999972691994,-1.2314678153707064,10.0
301546.3521058293,4242701.310453164,80.0,260025.68024848192,3658513.1494296165,-43658.949529673875,3.3222180778111787,745718.06402761105,5200728.80773949,4.065412,54.98834465212316,-2.8385866387963903,1465969628,48.270649,4737040.390063519,116.0,115.99999850383188,-2.4477345407358371,10.0
301546.8106019149,4242702.525805643,80.0,260026.14404500305,3658515.1602602648,-43658.658361354268,1.6542502825381598,745715.59202682343,5200727.37964132,4.065417,54.988322293498065,-2.4674078497857819,1465969628,48.270634,4737039.279842841,116.0,115.99999930931665,-2.1276648480707081,10.0
301547.5351079788,4242705.389619644,80.0,260026.85544148862,3658518.848885332,-43656.303280448679,-0.45850904370462542,745712.69478094776,5200727.208786118,4.065424,54.988293972582326,-1.947757713868234,1465969628,48.270615,4737039.366156676,118.0,117.99999968742428,-1.679567081577261,10.0
301548.46435616876,4242707.992742936,80.0,260027.65667731522,3658521.0927024,-43652.330741846417,-0.45850953653335769,745713.16268920701,5200730.48492548,4.065434,54.988293972582326,-1.2053987214270352,1465969628,48.270615,4737042.351344319,122.0,121.99999987056201,-1.0394249745295383,10.0
301548.89558937325,4242711.965846893,80.0,260028.02843966347,3658524.5174262696,-43646.371934156174,-0.45850999851474228,745713.86455183651,5200735.399134523,4.065436,54.988293972582326,-1.0569276715141855,1465969628,48.270615,4737046.829125783,128.0,127.99999989735825,-0.91139719838247402,10.0
301547.45160478144,4242706.308985318,80.0,260026.87013188074,3658520.8614535127,-43656.927605199948,-2.5712682258064676,745709.44660446211,5200724.580825511,4.065422,54.98826565167706,-2.0962301123314422,1465969628,48.270596,4737037.213579038,117.0,116.99999913811764,-1.8075966229735059,10.0
