yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301593.9446821923,4241499.2045998145,290.0,260000.42256994266,3656544.1878752084,-43738.511375293354,7.6971456646610745,746513.72738453257,5202122.4065583255,4.0672,55.00998938215907,-4.3921912785972754,1465929140,48.285168,4738125.308722447,130.0,129.99999384122347,-3.7864539675720152,6.0
301598.60294042306,4241494.610041525,110.0,260004.71736375758,3656544.150178287,-43751.229377269192,0.91404155861793457,746502.03241503658,5202105.130893714,4.067267,55.00989843133854,0.58021536754718284,1465929140,48.285107,4738110.344571161,116.0,115.99999990736521,0.50019705388695002,7.0
301599.5665671883,4241492.466672618,100.0,260005.2875623667,3656538.6384437964,-43748.364823141936,7.2523393676579122,746511.89698123315,5202113.833307702,4.067282,55.009983418167536,1.6934389283936087,1465929140,48.285164,4738117.548087311,120.0,119.99999564794025,1.4598929321073228,9.0
301594.344741993,4241497.506322322,110.0,260000.8223540747,3656543.4958668565,-43742.250605220142,6.3627608734528973,746511.2808330413,5202117.987358171,4.067207,55.00997149018582,-3.8726845290454941,1465929140,48.285156,4738121.434930857,126.0,125.99999565015897,-3.3385943066314212,7.0
301594.77819792303,4241493.138635035,100.0,260001.21441872546,3656539.9891310027,-43749.124694702608,5.9179607229570363,746509.80173953844,5202111.871864879,4.067217,55.00996552619563,-3.13053130249933,1465929140,48.285152,4738115.913694527,119.0,118.99999648473631,-2.6987932128758985,9.0
301579.6635312172,4241498.215970887,250.0,259988.1841536041,3656544.364924908,-43743.165997775017,5.9179956945374039,746510.50437549595,5202116.787375648,4.067009,55.00996552619563,-18.567253896661562,1465929140,48.285152,4738120.392489118,125.0,124.99997027790101,-16.006605249123822,6.0
301592.71188126487,4241491.284249993,120.0,259999.43311888652,3656538.391146056,-43752.104055529016,5.9179593237016501,746509.45043542841,5202109.414109495,4.067191,55.00996552619563,-5.0601170720910815,1465929140,48.285152,4738113.674297232,116.0,115.99999524869149,-4.3622657923624502,7.0
301578.31702470593,4241482.417571167,160.0,259986.1505929747,3656518.4706623796,-43746.878624971294,27.156868409469705,746541.98984999931,5202134.967235422,4.067006,55.01025030724575,-18.789828834438843,1465929140,48.285343,4738134.525314041,125.0,124.99991449814087,-16.19843003690039,5.0
301588.75188314065,4241502.559907243,110.0,259996.36642417518,3656552.9943305803,-43743.674993220811,-2.5330946056274182,746497.74193365511,5202107.914986623,4.067127,55.00985221047124,-9.8098955759089286,1465929140,48.285076,4738113.2760123545,123.0,122.99999196630684,-8.4570037470039097,8.0
301593.73889005056,4241499.449519055,180.0,260000.77087689418,3656551.7925122194,-43750.179779310201,-5.0906552056904424,746493.13080180297,5202099.991030346,4.067197,55.00981791758782,-4.6148366275669934,1465929140,48.285053,4738106.34889604,116.0,115.99999629932336,-3.9784018231221125,6.0
301606.87777468585,4241491.698524547,220.0,260011.540181431,3656537.2691003117,-43747.585520625515,8.4755277524288495,746513.82738531986,5202115.699568071,4.067381,55.00999981914541,9.0407157676593073,1465929140,48.285175,4738119.108486261,121.0,120.99998796685654,7.7938886819320032,4.0
301600.31592203036,4241500.912400913,110.0,260006.10709492178,3656548.3597106705,-43739.681244206949,3.0268118653842819,746506.56967999856,5202116.770379892,4.067284,55.00992676027103,1.8418724462633174,1465929140,48.285126,4738120.708041415,128.0,127.99999901518066,1.5878567071995349,7.0
301593.8991353162,4241494.378585498,110.0,260000.19141254816,3656537.328736507,-43741.313992869844,12.367473049849139,746520.41668380506,5202124.765725704,4.067204,55.0100520040985,-4.0953265061921851,1465929140,48.28521,4738126.923537143,128.0,127.99998668460813,-3.5305279004969634,8.0
301597.101345849,4241497.558575644,120.0,260003.24907031434,3656544.248045876,-43743.029912996186,5.1395775824529819,746509.35043352807,5202116.121096918,4.067244,55.00995508921402,-1.1267294407962885,1465929140,48.285145,4738119.874531189,125.0,124.99999782854799,-0.97133995690819575,7.0
301598.18193921377,4241497.060133096,100.0,260004.30407951688,3656545.5543677313,-43746.477586077723,2.1372225582151865,746504.43121234793,5202110.27415876,4.067259,55.00991483229812,-0.013504312167891719,1465929140,48.285118,4738114.890831321,121.0,120.99999964179437,-0.011641911311016884,9.0
301587.1506369167,4241485.272109541,120.0,259994.28698597115,3656528.259757466,-43753.600751522681,14.480221756021042,746522.14350812789,5202116.743159836,4.067122,55.010080333087984,-10.180929442489408,1465929140,48.285229,4738119.371821763,116.0,115.99997543547498,-8.7768443902605213,6.0
301603.546710244,4241491.938153243,260.0,260008.59536510194,3656536.447003828,-43745.910278057119,10.25469803515986,746516.69910925464,5202118.860993766,4.067336,55.010023675119534,5.7010444360185124,1465929140,48.285191,4738121.785321,123.0,122.99998920396612,4.9147981583300862,6.0
301598.7677062533,4241491.695468191,100.0,260004.4434585946,3656535.7879331694,-43746.046338999164,11.033082987565439,746517.85302337038,5202119.527271755,4.067272,55.01003411211057,0.95128951479502177,1465929140,48.285198,4738122.303278304,123.0,122.99999037581988,0.82009453402133659,9.0
301607.44046304893,4241491.241054534,100.0,260012.03899306353,3656537.0677349786,-43748.52032880015,8.1419328140055178,746513.21574855433,5202114.594768252,4.067389,55.00999534615108,9.6344341727701188,1465929140,48.285172,4738118.1400385415,120.0,119.99998753442527,8.3057263771333965,9.0
301601.699573987,4241488.980863596,190.0,260007.08990608895,3656535.120129688,-43752.492803092326,8.1419210074215762,746512.74733364023,5202111.317759879,4.067314,55.00999534615108,4.0683132788408098,1465929140,48.285172,4738115.154174552,116.0,115.99999350288368,3.5072424921745551,6.0
301603.9762150213,4241500.071001411,100.0,260009.19402923205,3656546.670159853,-43738.979685784652,4.6947900030492802,746509.15946120105,5202119.017372701,4.067334,55.00994912522512,5.5526252318136029,1465929140,48.285141,4738122.564417747,129.0,128.99999585766491,4.7868520481133601,9.0
301601.8296821894,4241498.134961981,130.0,260007.4487253508,3656546.4805266187,-43744.491346880139,2.1372243339012416,746504.66541508108,5202111.9126613345,4.067307,55.00991483229812,3.5488168532142321,1465929140,48.285118,4738116.383762061,123.0,122.99999865647784,3.0593939598475117,5.0
301593.12931508926,4241491.923054393,110.0,259999.75639577076,3656538.427294992,-43750.273314539052,6.8075461327553031,746511.00339853251,5202111.814073556,4.067196,55.00997745417642,-4.689043338292028,1465929140,48.28516,4738115.759179944,118.0,117.99999464260199,-4.0423670408563339,8.0
301586.2916149969,4241495.165020549,100.0,259993.75649084206,3656539.742526546,-43743.768545134517,9.3651242465504083,746515.6145608091,5202119.738037624,4.067101,55.01001174713156,-11.739466945335476,1465929140,48.285183,4738122.686301959,125.0,124.99998233282658,-10.120447099849116,8.0
301595.9781917663,4241492.226681904,110.0,260002.05693234046,3656536.5029457635,-43745.968588818476,10.58829022778346,746517.19364269054,5202119.1465414865,4.067234,55.01002814811553,-1.8688771530118311,1465929140,48.285194,4738122.007302711,123.0,122.99999092941808,-1.6111352241932764,7.0
301596.283754564,4241498.616676596,110.0,260002.56249752117,3656545.417061751,-43741.959043840841,4.6947854430379987,746508.80815472244,5202116.559617809,4.067232,55.00994912522512,-2.0173100156725505,1465929140,48.285141,4738120.325020835,126.0,125.9999979520074,-1.739098926911538,6.0
301605.87033142225,4241492.179327018,130.0,260010.87739448025,3656540.57660345,-43751.67643728917,3.4716039805974348,746505.82385082671,5202107.3200933095,4.067367,55.00993272425813,8.0017076758306125,1465929140,48.28513,4738112.046431517,116.0,115.99999404453476,6.8981781792172114,6.0
301605.19888022356,4241506.802177397,130.0,260010.7690850296,3656559.800056693,-43740.736340037358,-7.9818160312969555,746489.89873020735,5202104.889528959,4.067344,55.00977915173813,6.2947859069862462,1465929140,48.285027,4738111.14322979,125.0,124.99999189921883,5.4266707967108232,7.0
301601.046839395,4241501.774413398,130.0,260006.82404964484,3656550.3240889646,-43740.305057040954,0.91404366098427181,746503.32052215119,5202114.14265607,4.067293,55.00989843133854,2.5098086221301337,1465929140,48.285107,4738118.555688829,127.0,126.99999944104117,2.1636773997888668,6.0
301600.9665373845,4241494.367054534,110.0,260006.53098585756,3656540.7904195404,-43746.22308442933,6.3627563296588363,746510.81242507894,5202114.710350753,4.067299,55.00997149018582,2.9550940039312534,1465929140,48.285156,4738118.449067611,122.0,121.99999613993825,2.5475506577640772,8.0
301600.4321305682,4241499.407643462,110.0,260006.08844978822,3656545.3913741135,-43739.193495128093,5.917969524903401,746510.97275680653,5202120.064382826,4.067287,55.00996552619563,2.0645169341664484,1465929140,48.285152,4738123.378352178,129.0,128.99999691883883,1.7797951043976354,8.0
301607.62770454853,4241495.966857549,120.0,260012.57061068414,3656546.347885513,-43749.925269382155,-0.86512067030717765,746499.51200567011,5202104.427222621,4.067387,55.00987457540353,9.48601489570372,1465929140,48.285091,4738109.907132916,117.0,116.99999290123333,8.1777875998959644,6.0
301607.63552181685,4241491.891524192,100.0,260012.280283146,3656538.656952885,-43749.202450019453,6.3627609670246112,746510.46112604416,5202112.25259519,4.067391,55.00997149018582,9.7828655198682348,1465929140,48.285156,4738116.209670176,119.0,118.99998933424909,8.4336895752567216,9.0
301604.71550699096,4241478.031634263,320.0,260009.10040223532,3656517.3907418763,-43755.000276782732,22.48648313628664,746534.01236140856,5202123.596288937,4.067365,55.01018768514358,7.8532516098900143,1465929140,48.285301,4738124.699369467,116.0,115.99995549243685,6.7701756017995649,6.0
301606.19425609114,4241498.827336386,120.0,260011.15649016888,3656546.3055809117,-43741.745237258874,3.4716092228365389,746506.99486264994,5202115.512607974,4.067365,55.00993272425813,7.8532901139159961,1465929140,48.28513,4738119.511086613,126.0,125.99999422834743,6.7702291387104196,6.0
