yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301606.35174132866,4242761.189385649,110.0,260080.93634333785,3658614.2713697623,-43652.006147239175,-13.871764175406245,745659.07273434289,5200655.40301169,4.066161,54.98719542727415,-25.964609069410699,1465912413,48.269878,4736983.324302393,116.0,115.99993214814729,-22.389779921999434,9.0
301606.70247494546,4242767.170175463,110.0,260081.23864738562,3658619.426746203,-43643.067927139789,-13.871783431567348,745660.12545339752,5200662.774226248,4.06616,54.98719542727415,-26.038882761550386,1465912413,48.269878,4736990.040897533,125.0,124.99993184635397,-22.453827537807229,9.0
301606.2776911765,4242761.194649673,120.0,260080.87248847273,3658614.2759090303,-43652.006147499626,-13.871763837484101,745659.07273463497,5200655.40301169,4.06616,54.98719542727415,-26.038846088374328,1465912413,48.269878,4736983.324302393,116.0,115.99993184675212,-22.453795925888699,8.0
301606.89126773167,4242769.825964704,120.0,260081.40138468024,3658621.716007169,-43639.095384757369,-13.871792141593758,745660.59332840319,5200666.050321608,4.06616,54.98719542727415,-26.038899060814899,1465912413,48.269878,4736993.026050928,129.0,128.99993184630708,-22.45384158755769,8.0
301606.60807855235,4242765.842280843,120.0,260081.1572787383,3658618.28211572,-43645.054198330712,-13.871779077557385,745659.89151589491,5200661.136178569,4.06616,54.98719542727415,-26.038874611984173,1465912413,48.269878,4736988.548320835,123.0,122.99993184664828,-22.453820512942912,8.0
301606.53133529116,4242764.762716674,120.0,260081.10482075188,3658617.5441778004,-43646.982241240039,-14.205368464602588,745659.16318481741,5200659.212507234,4.06616,54.98719095561589,-26.038867986432734,1465912413,48.269875,4736986.833696534,121.0,120.99993111178873,-22.453815984037647,8.0
301606.4369388925,4242763.434821976,120.0,260081.0234520955,3658616.39954719,-43648.968512449312,-14.205364005570789,745658.92924746976,5200657.574459644,4.06616,54.98719095561589,-26.038859836834614,1465912413,48.269875,4736985.341119906,119.0,118.99993111200855,-22.453808959144226,8.0
301606.75750565197,4242771.085142632,120.0,260081.31796223696,3658623.2508908142,-43637.966383831961,-14.650179792873519,745659.55671144789,5200666.202889293,4.066157,54.98718499340534,-26.261618266957953,1465912413,48.269871,4736993.254227449,130.0,129.99992919246424,-22.645899406124954,8.0
301606.6362571705,4242770.4264592575,120.0,260081.2134229209,3658622.683114696,-43638.959519711985,-14.65017715016049,745659.43974317308,5200665.383865559,4.066156,54.98718499340534,-26.335851337239632,1465912413,48.269871,4736992.507939182,129.0,128.99992888706154,-22.709912014252041,8.0
301606.16427560383,4242763.786985214,120.0,260080.80657997815,3658616.9599607657,-43648.890875880476,-14.650154155732675,745658.27005746739,5200657.193628205,4.066156,54.98718499340534,-26.335810124538913,1465912413,48.269871,4736985.045056507,119.0,118.99992888719842,-22.709876489345334,8.0
